Game_Date,Game_Time,Length,Home_Runs,Wins,Replay_Reviews,Strikeout_Side,Four_Pitch_Walk,Triples,Seven_Or_More_Runs,Five_Or_More_Runs,Three_Or_More_Runs,Bunts,Stolen_Bases,Doubles,Double_Plays,Save,Caught_Stealing,Pitcher_Pickoff,Hits,Runs,Walks,Strikeouts,Runs_Batted_In,Assists
2024-03-28,19:10:00,2.74,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,8,4,1,7,4,6
2024-03-29,18:40:00,2.4,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,4,1,2,13,1,7
2024-03-30,18:40:00,2.76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,4,2,13,4,10
2024-03-31,13:10:00,2.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,8,1,9
2024-04-01,18:40:00,2.59,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,7,5,6,5,5,6
2024-04-02,18:40:00,2.46,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,9,2,2,11,2,5
2024-04-03,13:10:00,2.37,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,4,4,0,6
2024-04-05,17:10:00,2.8,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1,1,8,5,2,9,5,9
2024-04-06,16:10:00,2.43,2,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,10,5,3,8,5,9
2024-04-07,11:10:00,2.6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,4,1,11,4,8
2024-04-08,16:07:00,2.56,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,2,9,2,7
2024-04-09,16:07:00,2.89,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,3,6,7,3,9
2024-04-10,12:07:00,2.68,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,6,6,5,10,6,6
2024-04-12,18:40:00,2.58,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,4,5,7,4,5
2024-04-13,18:40:00,2.39,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,3,8,1,9
2024-04-14,13:10:00,2.54,1,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1,5,2,5,12,2,7
2024-04-15,18:42:00,2.49,2,1,0,1,0,1,1,1,1,0,1,3,0,0,1,0,10,9,6,10,9,6
2024-04-16,18:40:00,2.85,0,1,0,2,1,0,0,0,1,0,1,1,0,1,1,0,8,3,7,9,3,9
2024-04-17,13:10:00,2.34,3,1,0,1,1,1,0,1,1,0,1,2,0,0,0,0,7,5,7,12,5,9
2024-04-20,17:10:00,2.53,1,1,1,0,2,0,1,1,1,0,2,0,0,0,0,0,16,7,6,11,5,6
2024-04-21,12:10:00,2.95,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,1,6,11,1,6
2024-04-21,17:10:00,2.55,1,1,0,0,0,1,1,1,1,0,0,2,1,0,0,0,13,10,0,6,9,10
2024-04-23,17:05:00,2.49,2,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,6,4,5,9,4,9
2024-04-24,17:05:00,2.94,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,8,1,2,8,1,7
2024-04-25,11:35:00,2.31,2,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,5,4,0,9,4,7
2024-04-26,18:40:00,2.15,3,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,5,6,3,7,6,11
2024-04-27,18:40:00,2.28,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,4,3,3,14,3,2
2024-04-28,13:10:00,2.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,12,2,6
2024-04-29,18:40:00,2.48,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,2,3,14,2,10
2024-04-30,18:40:00,2.27,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,7,3,3,10,3,5
2024-05-01,12:40:00,2.57,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,10,2,2,7,2,3
2024-05-03,17:10:00,2.6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,3,5,3,9
2024-05-04,16:15:00,2.43,2,1,1,0,1,0,0,1,1,0,1,3,3,0,0,0,10,5,3,7,4,12
2024-05-05,11:10:00,2.92,2,1,0,0,0,1,0,1,1,0,1,2,1,0,0,0,10,5,4,5,5,9
2024-05-06,16:40:00,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,9,1,6
2024-05-07,16:40:00,3.03,2,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,10,10,5,4,9,10
2024-05-08,16:40:00,2.46,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,10,3,2,9,3,4
2024-05-09,10:10:00,2.65,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,1,2,8,1,6
2024-05-10,18:40:00,2.73,1,1,0,0,1,0,1,1,1,0,1,2,0,0,0,0,11,8,4,9,8,10
2024-05-11,18:40:00,2.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,12,1,4
2024-05-12,13:10:00,2.3,3,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,8,8,4,9,8,9
2024-05-13,18:40:00,2.53,2,1,1,0,0,0,0,1,1,0,1,2,0,1,1,0,11,6,1,10,6,8
2024-05-14,18:40:00,2.52,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,2,2,10,2,11
2024-05-15,13:10:00,2.95,1,1,3,0,0,0,0,0,1,0,1,1,0,1,0,0,9,4,2,9,3,7
2024-05-17,16:05:00,2.52,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,2,1,2,2,11
2024-05-18,13:05:00,2.76,0,1,0,0,0,0,0,0,1,0,0,4,1,1,0,0,7,4,4,6,4,7
2024-05-19,10:35:00,2.46,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,8,3,3,5,3,9
2024-05-20,16:05:00,2.58,1,1,0,0,0,0,0,1,1,0,0,0,3,1,2,0,7,5,3,3,4,17
2024-05-21,16:05:00,2.98,4,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,10,6,2,9,6,8
2024-05-22,16:05:00,2.73,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,5,7,3,5
2024-05-23,09:35:00,2.72,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,4,4,0,12
2024-05-24,15:45:00,2.13,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,1,1,5,1,8
2024-05-25,13:05:00,2.36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,1,0,6,1,13
2024-05-26,10:35:00,2.58,2,1,1,0,0,0,1,1,1,0,2,2,0,0,0,0,10,9,3,6,9,8
2024-05-27,18:40:00,2.51,0,1,0,1,0,0,0,0,1,0,3,1,1,1,0,0,6,3,5,9,3,6
2024-05-28,18:40:00,2.27,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,7,4,1,10,3,6
2024-05-29,18:40:00,2.67,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,4,14,2,8
2024-05-30,13:10:00,2.38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,3,5,0,11
2024-05-31,19:10:00,2.53,1,1,0,0,1,0,0,1,1,0,2,4,2,1,1,1,9,5,2,8,5,11
2024-06-01,16:15:00,2.79,2,1,0,0,1,0,1,1,1,0,2,1,0,0,1,0,9,9,7,12,9,5
2024-06-02,13:10:00,2.65,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,5,5,4,9,5,9
2024-06-04,18:40:00,2.81,0,1,0,0,1,0,0,0,1,0,2,4,1,1,0,0,10,4,2,11,4,10
2024-06-05,18:40:00,2.24,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,2,6,1,9
2024-06-06,12:37:00,2.58,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,3,5,8,3,6
2024-06-07,17:10:00,2.89,1,0,0,0,1,0,1,1,1,0,0,6,2,0,0,0,10,9,8,5,9,14
2024-06-08,13:10:00,2.38,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,4,2,6,4,4
2024-06-09,11:10:00,3.07,1,1,0,0,0,0,0,1,1,2,0,2,0,1,0,0,10,6,3,8,6,14
2024-06-10,18:40:00,2.68,2,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,11,8,4,11,8,8
2024-06-11,18:40:00,2.53,0,1,0,0,2,0,0,0,1,0,2,4,1,1,0,0,5,4,4,8,4,11
2024-06-12,18:40:00,2.56,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,6,2,3,13,2,6
